posting_id,공사명,종목,대업종,발주처,지역약칭,기초금액,추정가격,예정가격,예정가격사정률,1순위금액,1순위사정률,1순위업체,참여업체수,개찰일,검색지역,연차구분
[R26BK01605513-000],기초 A값 수의 동삼초등학교 교내포장 및 기타공사 소액수의 전자견적 공고 [R26BK01605513-000],포장,지반조성.포장,부산광역시교육청 부산광역시서부교육지원청,부산,"142,030,000","129,118,182","141,499,925",-0.37322,"127,795,600",-0.34301,주식회사 태인산업개발,259,26/07/03 11:00,부산,최근1년
[R26BK01605503-000],기초 A값 수의 다선초등학교 외부환경개선공사 소액수의 전자견적 공고 [R26BK01605503-000],포장,지반조성.포장,부산광역시교육청 부산광역시서부교육지원청,부산,"114,270,000","103,881,818","115,291,375",0.89382,"104,138,446",0.90470,에이치앤케이2건설 주식회사,257,26/07/03 11:00,부산,최근1년
[R26BK01599919-000],기초 A값 수의 특허 2026년 사상구 지반침하대응 노후하수관로 2차 정비공사(3-3단계) [R26BK01599919-000],상.하수도,상.하수도,부산광역시 사상구,부산,"99,690,000","90,627,273","99,791,000",0.10131,"89,974,802",0.10239,에스앤씨이엔지 주식회사,343,26/07/03 11:00,부산,최근1년
[R26BK01601362-000],기초 A값 순공사 사상초등학교 모듈러교사주변 외부환경개선공사 [R26BK01601362-000],포장/토공/보링.그라우팅.파일,지반조성.포장,부산광역시교육청,부산,"370,283,000","336,620,910","370,366,350",0.02250,"334,519,919",0.02402,(주)대흥이엔지,290,26/07/02 11:00,부산,최근1년
[R26BK01599958-000],기초 A값 수의 2026년 교통사고 잦은 곳 개선사업(감만사거리 일원) [R26BK01599958-000],포장,지반조성.포장,부산광역시 남구,부산,"125,891,000","114,446,364","125,806,725",-0.06695,"113,467,000",-0.06598,탑런컴퍼니(주),260,26/07/02 11:00,부산,최근1년
[R26BK01600994-000],기초 A값 수의 연제구 맨홀 추락방지시설 설치공사(2구역) [R26BK01600994-000],상.하수도,상.하수도,부산광역시 연제구,부산,"181,620,000","165,109,091","181,567,850",-0.02872,"163,459,000",-0.02624,(주)삼우특수개발,366,26/07/01 11:00,부산,최근1년
[R26BK01600740-000],기초 A값 수의 연제구 맨홀 추락방지시설 설치공사(1구역) [R26BK01600740-000],상.하수도,상.하수도,부산광역시 연제구,부산,"198,720,000","180,654,545","199,459,275",0.37201,"179,555,500",0.37441,주식회사 다경건설산업,366,26/07/01 11:00,부산,최근1년
[R26BK01600283-000],기초 A값 수의 상호진출 대저1동 SK진흥주유소~남해고속도로간 도로개설공사(4차) [R26BK01600283-000],토목/토건/토공/상.하수도,지반조성.포장/상.하수도,부산광역시 강서구,부산,"206,440,000","187,672,727","207,861,900",0.68877,"188,825,620",0.70626,하동건설 주식회사,226,26/07/01 11:00,부산,최근1년
[R26BK01601304-000],기초 A값 순공사 상호진출 대천천 누리길 조성사업(3차)(장기계속계약) [R26BK01601304-000],토목/토건/철콘/포장/토공/조경식재/조경시설물/보링.그라우팅.파일,지반조성.포장/조경식재.시설물/철콘,부산광역시 북구,부산,"1,940,500,000","1,764,290,000","1,954,452,225",0.71900,"1,752,021,700",0.72909,초우종합건설 주식회사,147,26/06/30 11:00,부산,최근1년
[R26BK01600288-000],기초 A값 수의 동구 충장대로 동천삼거리 일원 포장보수공사 [R26BK01600288-000],포장,지반조성.포장,부산광역시 건설안전시험사업소,부산,"60,170,000","54,700,000","59,553,025",-1.02539,"53,577,800",-1.02451,일동건설(주),260,26/06/30 11:00,부산,최근1년
